id,image_url,name
127,https://archives.bulbagarden.net/media/upload/a/a9/0127Pinsir.png,Pinsir
128,https://archives.bulbagarden.net/media/upload/a/ad/0128Tauros.png,Tauros
129,https://archives.bulbagarden.net/media/upload/d/d1/0129Magikarp.png,Magikarp
130,https://archives.bulbagarden.net/media/upload/b/bc/0130Gyarados.png,Gyarados
131,https://archives.bulbagarden.net/media/upload/9/99/0131Lapras.png,Lapras
132,https://archives.bulbagarden.net/media/upload/2/25/0132Ditto.png,Ditto
133,https://archives.bulbagarden.net/media/upload/4/4c/0133Eevee.png,Eevee
134,https://archives.bulbagarden.net/media/upload/6/6d/0134Vaporeon.png,Vaporeon
135,https://archives.bulbagarden.net/media/upload/e/e3/0135Jolteon.png,Jolteon
136,https://archives.bulbagarden.net/media/upload/f/f1/0136Flareon.png,Flareon
137,https://archives.bulbagarden.net/media/upload/8/8e/0137Porygon.png,Porygon
138,https://archives.bulbagarden.net/media/upload/e/e6/0138Omanyte.png,Omanyte
139,https://archives.bulbagarden.net/media/upload/6/66/0139Omastar.png,Omastar
140,https://archives.bulbagarden.net/media/upload/d/d2/0140Kabuto.png,Kabuto
141,https://archives.bulbagarden.net/media/upload/4/41/0141Kabutops.png,Kabutops
142,https://archives.bulbagarden.net/media/upload/2/2c/0142Aerodactyl.png,Aerodactyl
143,https://archives.bulbagarden.net/media/upload/3/3f/0143Snorlax.png,Snorlax
147,https://archives.bulbagarden.net/media/upload/a/ae/0147Dratini.png,Dratini
148,https://archives.bulbagarden.net/media/upload/0/0d/0148Dragonair.png,Dragonair
149,https://archives.bulbagarden.net/media/upload/1/1c/0149Dragonite.png,Dragonite
